;CVID1;CVID2;CVID3;CVID4;CVID5;CVID6;CVID7;CVID8;CVID9;HD1;HD2;HD3;HD4;HD5;HD6;HD7;HD8;HD9
TSPAN6;5;1;2;7;5;3;2;6;1;0;2;3;9;2;0;0;3;7
DPM1;487;377;438;494;719;408;622;505;365;2548;2472;2340;3386;1958;1864;6127;3728;3226
SCYL3;583;671;818;745;456;750;816;430;775;441;359;444;699;312;497;561;638;584
C1orf112;300;220;193;318;134;152;315;131;226;232;317;334;45;190;227;201;99;234
FGR;13984;13241;10448;10438;19922;11601;11018;19839;8753;2124;3142;3496;2809;4179;4352;3648;3137;3704
CFH;8;6;0;0;9;6;0;0;1;0;0;3;0;2;2;0;0;0
FUCA2;177;250;217;191;458;183;186;439;172;108;76;125;188;96;102;137;112;84
GCLC;608;442;566;558;572;502;732;637;724;629;510;650;647;545;340;466;519;567
NFYA;1194;1597;1774;1919;1313;1055;1678;971;1478;2470;3238;2624;1740;2111;2484;3130;2705;2245
STPG1;122;142;136;140;160;126;124;134;129;125;104;98;95;96;71;77;176;166
NIPAL3;971;894;1307;1219;890;720;900;839;1163;446;740;762;348;454;598;571;473;529
LAS1L;1691;2183;2515;1702;1591;1623;1545;1700;1894;3472;3493;3783;6128;3819;2754;6012;5262;4507
ENPP4;283;123;156;293;625;382;409;332;373;1618;622;2383;1586;1079;648;2670;1045;993
SEMA3F;0;1;0;0;2;0;2;4;1;16;32;44;9;31;51;104;156;152
CFTR;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0
ANKIB1;1233;1083;1447;1448;1077;1135;1634;1235;1433;2119;2412;2648;1772;1800;2025;2890;2123;2046
CYP51A1;4;10;11;14;21;2;8;11;13;47;56;52;0;30;62;97;72;53
KRIT1;389;145;158;271;316;316;290;375;300;288;334;284;292;369;306;412;222;269
RAD52;746;697;1040;780;608;734;704;632;675;466;764;824;517;604;897;493;575;635
MYH16;3;6;2;1;1;0;2;1;2;1;1;0;0;0;1;0;3;0
BAD;245;271;276;245;454;312;211;477;258;125;160;164;275;338;248;619;321;192
LAP3;623;756;683;575;673;640;529;740;712;1204;1292;877;952;1228;1150;2347;1960;1637
CD99;1550;2634;3163;2205;4289;4006;1064;3817;1970;1224;2022;1568;2248;2517;2266;2201;1670;1462
HS3ST1;894;519;795;608;268;478;626;469;502;65;154;140;143;130;149;56;78;176
AOC1;0;0;0;0;2;2;0;4;0;0;0;0;2;0;0;0;0;0
